version,region,input_size,context_switches,page_faults,cycles,instructions,branches,branch_misses,time,time_stddev
mandelbrot_seq,elephant,16,0,64,837591,61154,129521,2804,9.91e-05,5.04
mandelbrot_seq,elephant,32,0,72,512327,596017,456601,6307,0.000167,4.48
mandelbrot_seq,elephant,64,3,102,35857,346844,964838,12529,0.000815,6.77
mandelbrot_seq,elephant,128,5,222,637463,694839,899511,23254,0.00125,3.36
mandelbrot_seq,elephant,256,9,703,292884,698374,460102,70848,0.0105,7.22
mandelbrot_seq,elephant,512,5,2623,154338,163308,522804,234097,0.00483,1.23
mandelbrot_seq,elephant,1024,38,10303,80486,439771,50973,885210,0.0325,2.06
mandelbrot_seq,elephant,2048,55,41023,882041,598110,588649,440178,0.0184,0.3
mandelbrot_seq,full,16,0,63,,,,,4.88e-05,3.45
mandelbrot_seq,full,32,0,71,,,,,0.000577,24.03
mandelbrot_seq,full,64,0,101,828106,733101,611811,7136,8.88e-05,2.92
mandelbrot_seq,full,128,1,221,504011,76251,807818,9176,0.0004,3.67
mandelbrot_seq,full,256,1,701,421045,364566,112784,22633,0.000414,1.91
mandelbrot_seq,full,512,5,2622,887389,847531,912461,58637,0.00498,5.44
mandelbrot_seq,full,1024,24,10302,436140,47279,6585,183591,0.0195,5.66
mandelbrot_seq,full,2048,9,41022,28566,465650,23209,636342,0.00214,0.19
mandelbrot_seq,seahorse,16,0,63,466311,557570,72604,1772,5.21e-05,2.36
mandelbrot_seq,seahorse,32,0,72,9781,613082,252226,3265,0.000139,3.67
mandelbrot_seq,seahorse,64,1,102,,,,,0.000301,3.19
mandelbrot_seq,seahorse,128,7,222,963739,674647,179713,24988,0.0015,3.23
mandelbrot_seq,seahorse,256,4,703,200735,193356,617204,70744,0.00452,4.14
mandelbrot_seq,seahorse,512,23,2623,644762,97498,478616,257244,0.0205,4.49
mandelbrot_seq,seahorse,1024,72,10303,91589,942723,525241,976973,0.0557,2.84
mandelbrot_seq,seahorse,2048,55,41023,168035,162161,76188,726620,0.0116,0.18
mandelbrot_seq,triple_spiral,16,0,64,,,,,5.71e-05,2.9
mandelbrot_seq,triple_spiral,32,0,72,,,,,0.000122,3.13
mandelbrot_seq,triple_spiral,64,2,102,389771,384346,260147,19727,0.000637,3.63
mandelbrot_seq,triple_spiral,128,3,222,211649,852280,991093,21848,0.00117,3.16
mandelbrot_seq,triple_spiral,256,3,703,456693,532341,51888,77048,0.0075,5.59
mandelbrot_seq,triple_spiral,512,7,2623,80725,692713,798256,275084,0.00416,0.87
mandelbrot_seq,triple_spiral,1024,21,10303,171366,843013,957937,48461,0.00452,0.25
mandelbrot_seq,triple_spiral,2048,51,41023,345031,630222,175550,114846,0.0114,0.16
mandelbrot_pth,elephant,16,12,108,,,,,9.03e-05,3.12
mandelbrot_pth,elephant,32,14,109,121894,702504,679971,14391,0.00018,5.39
mandelbrot_pth,elephant,64,24,109,347799,678348,76303,14052,0.000155,3.43
mandelbrot_pth,elephant,128,14,109,934430,593244,976643,23039,0.000227,2.25
mandelbrot_pth,elephant,256,30,108,549531,286557,554142,49432,0.000512,1.79
