version,region,input_size,threads,io_aloc,context_switches,page_faults,cycles,instructions,branches,branch_misses,time,time_stddev
mandelbrot_seq,elephant,16,-,sem,0,59,333451,729678,222184,4095,9.49e-05,6.17
mandelbrot_seq,elephant,32,-,sem,0,59,,,,,0.000159,4.42
mandelbrot_seq,elephant,64,-,sem,1,59,487658,432196,681136,7191,0.000176,2.06
mandelbrot_seq,elephant,128,-,sem,0,59,665378,252849,894974,20865,0.00147,4.88
mandelbrot_seq,elephant,256,-,sem,2,59,900879,120953,924340,58708,0.00071,0.77
mandelbrot_seq,elephant,512,-,sem,2,59,19888,322891,422295,220781,0.000861,0.24
mandelbrot_seq,elephant,1024,-,sem,10,59,932044,635996,417198,859447,0.00217,0.15
mandelbrot_seq,elephant,2048,-,sem,32,58,770530,295374,180436,380088,0.00425,0.07
mandelbrot_seq,full,16,-,sem,0,58,,,,,0.000166,11.4
mandelbrot_seq,full,32,-,sem,0,58,,,,,2.74e-05,1.96
mandelbrot_seq,full,64,-,sem,0,58,,,,,8.9e-05,3.21
mandelbrot_seq,full,128,-,sem,0,58,271572,763314,955286,8279,0.00031,4.86
mandelbrot_seq,full,256,-,sem,1,58,206451,89768,859544,16590,0.000435,2.59
mandelbrot_seq,full,512,-,sem,1,58,445633,44437,997051,45310,0.000826,1.48
mandelbrot_seq,full,1024,-,sem,2,58,424352,953280,591786,148952,0.000607,0.29
mandelbrot_seq,full,2048,-,sem,5,58,294486,537816,888326,542163,0.000797,0.1
mandelbrot_seq,seahorse,16,-,sem,0,59,182491,529581,195434,3581,8.78e-05,5.42
mandelbrot_seq,seahorse,32,-,sem,0,59,174623,614728,535975,5935,9.23e-05,3.41
mandelbrot_seq,seahorse,64,-,sem,0,59,260130,143646,452553,8499,0.000458,5.32
mandelbrot_seq,seahorse,128,-,sem,0,59,893281,920782,397263,25121,0.00104,3.45
mandelbrot_seq,seahorse,256,-,sem,1,59,751391,594908,24645,70074,0.00398,3.86
mandelbrot_seq,seahorse,512,-,sem,2,59,326877,363301,36362,262090,0.000646,0.17
mandelbrot_seq,seahorse,1024,-,sem,8,59,324962,483010,134230,31921,0.00204,0.13
mandelbrot_seq,seahorse,2048,-,sem,28,59,575342,387253,612356,57998,0.00224,0.04
mandelbrot_seq,triple_spiral,16,-,sem,0,59,597194,112780,261881,4355,0.000111,7.09
mandelbrot_seq,triple_spiral,32,-,sem,0,59,19801,707847,242283,2402,0.000181,3.84
mandelbrot_seq,triple_spiral,64,-,sem,1,59,634718,753811,483597,7428,0.000483,4.65
mandelbrot_seq,triple_spiral,128,-,sem,1,59,617457,907053,751479,22600,0.000793,2.55
mandelbrot_seq,triple_spiral,256,-,sem,1,59,461891,579304,419459,70582,0.00137,1.21
mandelbrot_seq,triple_spiral,512,-,sem,5,59,115581,203106,694409,269687,0.00687,1.54
mandelbrot_seq,triple_spiral,1024,-,sem,10,59,967071,204423,927909,36191,0.00127,0.07
mandelbrot_seq,triple_spiral,2048,-,sem,87,59,390443,31084,168571,129724,0.12,1.69
mandelbrot_pth,elephant,16,16,sem,9,109,878240,697062,670861,9980,7.25e-05,3.02
mandelbrot_pth,elephant,32,16,sem,16,109,876388,680577,733713,13112,0.000155,5.34
mandelbrot_pth,elephant,64,16,sem,24,109,296216,996205,202713,14510,0.000151,3.34
mandelbrot_pth,elephant,128,16,sem,14,109,907132,780448,428731,26636,0.000126,1.34
mandelbrot_pth,elephant,256,16,sem,29,108,34496,722417,638073,54183,0.000479,1.66
mandelbrot_pth,elephant,512,16,sem,70,108,552510,358169,217906,160568,0.000537,0.53
mandelbrot_pth,elephant,1024,16,sem,216,108,982747,150188,746741,586716,0.00192,0.5
mandelbrot_pth,elephant,2048,16,sem,845,108,517882,129039,390571,274625,0.00857,0.57
mandelbrot_pth,full,16,16,sem,6,108,,,,,0.000171,5.56
mandelbrot_pth,full,32,16,sem,11,109,929374,650869,663229,11700,7.2e-05,3.06
mandelbrot_pth,full,64,16,sem,8,108,735893,365207,686556,13892,0.000195,6.53
mandelbrot_pth,full,128,16,sem,13,108,829806,619123,49028,16296,5.65e-05,1.39
mandelbrot_pth,full,256,16,sem,13,109,208818,164722,560191,25114,0.000171,1.96
mandelbrot_pth,full,512,16,sem,20,109,436889,93921,70239,55557,0.00073,2.71
mandelbrot_pth,full,1024,16,sem,18,109,888924,479767,845667,138617,0.00236,2.53
