version,region,input_size,threads,io_aloc,context_switches,page_faults,cycles,instructions,branches,branch_misses,time,time_stddev
mandelbrot_seq,elephant,16,-,sem,0,59,,,,,3.31e-05,2.1
mandelbrot_seq,elephant,32,-,sem,0,59,,,,,8.84e-05,2.67
mandelbrot_seq,elephant,64,-,sem,0,102,42608,463935,890275,11445,0.000115,1.47
mandelbrot_seq,elephant,128,-,sem,1,59,583956,95826,840922,19587,0.000828,3.13
mandelbrot_seq,elephant,256,-,sem,1,703,694601,488309,486377,66043,0.00143,1.45
mandelbrot_seq,elephant,512,-,sem,2,59,681956,89790,941959,218699,0.000836,0.23
mandelbrot_seq,full,16,-,sem,0,58,975898,220794,205944,4718,5.86e-05,5.27
mandelbrot_seq,full,32,-,sem,0,58,324119,724206,245163,5051,6.52e-05,4.9
mandelbrot_seq,full,64,-,sem,0,58,943192,307451,123332,1356,5.72e-05,2.34
mandelbrot_seq,full,128,-,sem,0,58,603616,657201,849031,7443,0.0003,5.58
mandelbrot_seq,full,256,-,sem,0,58,315085,18390,138150,33424,0.000587,3.74
mandelbrot_seq,full,512,-,sem,1,2622,628138,362487,526085,58100,0.000619,0.81
mandelbrot_seq,seahorse,16,-,sem,0,59,689241,173985,277729,5024,7.39e-05,5.08
mandelbrot_seq,seahorse,32,-,sem,0,59,509619,243249,303127,3982,0.000161,4.49
mandelbrot_seq,seahorse,64,-,sem,0,59,539799,819394,264973,7660,0.000397,4.64
mandelbrot_seq,seahorse,128,-,sem,0,59,15896,217244,101455,22505,0.00085,3.04
mandelbrot_seq,seahorse,256,-,sem,1,59,393614,199212,9163,64367,0.000578,0.59
mandelbrot_seq,seahorse,512,-,sem,2,59,135514,860002,300619,233095,0.000966,0.25
mandelbrot_seq,triple_spiral,16,-,sem,0,59,,,,,2.95e-05,1.51
mandelbrot_seq,triple_spiral,32,-,sem,0,59,493153,362022,294809,2576,0.000135,3.72
mandelbrot_seq,triple_spiral,64,-,sem,0,102,369630,834425,155027,12307,0.000223,2.29
mandelbrot_seq,triple_spiral,128,-,sem,0,59,757198,726150,548325,20826,0.000605,2.02
mandelbrot_seq,triple_spiral,256,-,sem,1,58,835328,487063,292246,70529,0.00126,1.1
mandelbrot_seq,triple_spiral,512,-,sem,3,2623,466772,26433,54646,270860,0.00056,0.12
mandelbrot_seq,elephant,16,-,com,0,64,643314,162908,288213,5387,6.32e-05,4.04
mandelbrot_seq,elephant,32,-,com,0,72,13825,526926,574543,7104,0.000141,4.75
mandelbrot_seq,elephant,64,-,com,1,59,242501,110927,475058,8647,0.000572,6.23
mandelbrot_seq,elephant,128,-,com,1,222,539366,530553,256772,24928,0.000849,2.92
mandelbrot_seq,elephant,256,-,com,1,59,852662,36517,870894,58966,0.00486,4.91
mandelbrot_seq,elephant,512,-,com,2,2623,240195,855411,64538,229995,0.000443,0.12
mandelbrot_seq,full,16,-,com,0,63,400124,469444,77960,2194,0.000137,8.21
mandelbrot_seq,full,32,-,com,0,71,,,,,0.000535,23.01
mandelbrot_seq,full,64,-,com,0,101,481006,993325,806059,8068,6.83e-05,2.94
mandelbrot_seq,full,128,-,com,0,221,671139,315706,996727,10617,0.000263,3.46
mandelbrot_seq,full,256,-,com,1,702,128440,577813,200487,22876,0.000707,3.18
mandelbrot_seq,full,512,-,com,1,58,30585,394944,912025,47579,0.000972,1.71
mandelbrot_seq,seahorse,16,-,com,0,64,904407,251122,207810,3836,2.61e-05,1.46
mandelbrot_seq,seahorse,32,-,com,0,72,,,,,9.95e-05,2.87
mandelbrot_seq,seahorse,64,-,com,0,102,129797,559759,937939,12952,0.000886,8.2
mandelbrot_seq,seahorse,128,-,com,0,222,863030,188295,344896,24426,0.000814,2.82
mandelbrot_seq,seahorse,256,-,com,1,703,540114,934004,462127,70297,0.000287,0.28
mandelbrot_seq,seahorse,512,-,com,4,2623,279551,543639,603554,253784,0.00182,0.45
mandelbrot_seq,triple_spiral,16,-,com,0,64,772835,333917,301308,5319,0.000101,6.21
mandelbrot_seq,triple_spiral,32,-,com,0,72,863393,445092,571824,5581,0.000105,2.94
mandelbrot_seq,triple_spiral,64,-,com,1,59,300312,107755,987798,10096,0.000363,3.62
mandelbrot_seq,triple_spiral,128,-,com,0,222,551052,188696,62712,25658,0.00314,8.87
mandelbrot_seq,triple_spiral,256,-,com,2,703,212904,487838,742871,75840,0.000996,0.86
mandelbrot_seq,triple_spiral,512,-,com,3,59,414190,237218,704557,260832,0.151,25.62
